SaleId,OrderId,ProductId,Quantity
1,1,3,1
2,1,7,9
3,2,5,12
4,2,10,3
5,2,4,3
6,2,6,2
7,2,12,3
8,2,2,12
9,2,1,4
10,2,3,2
11,2,11,6
12,2,7,5
13,2,9,2
14,3,12,5
15,3,11,1
16,3,8,9
17,3,1,5
18,3,2,5
19,3,4,1
20,3,10,6
21,4,3,2
22,4,11,4
23,4,1,6
24,4,5,3
25,4,9,5
26,4,12,2
27,4,10,2
28,5,10,1
29,6,5,9
30,6,3,2
31,6,1,1
32,6,7,3
33,6,9,4
34,6,8,6
35,6,12,1
36,7,8,7
37,8,7,2
38,8,2,5
39,8,6,1
40,8,10,2
41,8,12,8
42,8,11,1
43,8,1,3
44,8,4,5
45,8,5,5
46,8,3,1
47,9,9,2
48,9,4,9
49,9,12,1
50,9,3,1
51,9,10,1
52,9,6,2
53,9,11,1
54,9,8,4
55,10,2,2
56,11,4,2
57,11,10,2
58,11,5,2
59,11,11,7
60,11,9,7
61,11,8,2
62,11,2,2
63,11,3,2
64,11,12,1
65,11,1,3
66,12,6,2
67,12,3,3
68,12,8,4
69,12,5,2
70,13,5,1
71,13,8,5
72,13,7,11
73,13,2,5
74,13,1,8
75,13,3,3
76,13,11,10
77,13,4,1
78,13,12,1
79,14,10,5
80,14,8,2
81,14,1,1
82,14,5,2
83,14,7,5
84,15,6,4
85,15,9,4
86,15,7,3
87,15,3,1
88,15,2,2
89,15,5,5
90,15,8,1
91,15,4,1
92,16,12,9
93,16,5,7
94,16,10,9
95,16,1,1
96,16,9,1
97,16,7,4
98,16,6,8
99,16,3,5
100,17,7,1
101,18,7,1
102,18,2,3
103,19,12,2
104,19,11,3
105,19,2,5
106,19,9,4
107,19,10,1
108,19,1,11
109,19,4,6
110,20,7,1
111,20,12,2
112,20,1,3
113,20,11,2
114,20,10,1
115,20,6,2
116,20,4,8
117,21,3,3
118,22,5,1
119,22,2,1
120,22,10,9
121,22,7,2
122,22,12,6
123,22,9,8
124,22,3,1
125,22,8,2
126,22,4,1
127,22,11,3
128,22,1,4
129,23,10,3
130,23,7,9
131,23,5,5
132,23,9,1
133,24,7,5
134,24,10,2
135,24,3,1
136,24,9,2
137,24,2,7
138,24,1,1
139,24,5,3
140,24,11,2
141,24,12,6
142,25,7,5
143,25,10,3
144,25,5,1
145,25,6,2
146,25,4,3
147,25,2,16
148,25,3,1
149,25,12,7
150,25,9,2
151,25,11,7
152,25,1,2
153,26,1,3
154,26,10,5
155,26,4,8
156,26,11,1
157,26,8,2
158,26,5,1
159,26,12,11
160,26,7,2
161,26,3,3
162,26,2,1
163,27,2,4
164,27,7,2
165,27,4,2
166,27,9,1
167,27,10,4
168,27,3,2
169,27,12,3
170,27,6,2
171,27,11,3
172,27,5,3
173,27,1,1
174,28,6,4
175,28,3,3
176,28,5,3
177,28,12,5
178,28,10,5
179,28,9,7
180,28,8,4
181,28,7,1
182,29,7,3
183,29,9,4
184,29,2,2
185,29,1,1
186,30,3,3
187,30,4,1
188,30,1,4
189,30,9,1
190,30,5,1
191,30,2,3
192,30,11,6
193,30,8,1
194,30,7,5
195,31,10,8
196,31,11,3
197,31,12,4
198,31,1,1
199,31,9,1
200,31,4,1
201,31,7,2
202,31,3,1
203,31,8,2
204,31,6,1
205,31,5,1
206,32,8,4
207,32,12,4
208,32,11,4
209,34,7,1
210,34,6,1
211,34,3,3
212,34,1,3
213,34,2,4
214,34,10,2
215,35,2,4
216,36,5,1
217,36,8,5
218,36,11,10
219,36,7,1
220,37,12,1
221,37,8,1
222,37,9,1
223,37,11,2
224,38,3,7
225,38,4,5
226,39,11,1
227,39,8,4
228,39,3,1
229,39,1,2
230,39,2,2
231,39,6,2
232,39,9,3
233,39,10,7
234,40,11,1
235,40,12,1
236,41,10,6
237,41,3,3
238,41,5,1
239,41,12,3
240,42,12,5
241,42,4,3
242,42,1,1
243,42,5,5
244,42,10,1
245,42,9,2
246,42,11,3
247,42,8,5
248,42,3,12
249,43,4,1
250,43,3,1
251,43,9,3
252,43,1,1
253,43,10,2
254,43,2,2
255,43,8,2
256,44,12,9
257,44,6,4
258,44,4,1
259,44,1,1
260,44,2,4
261,44,9,1
262,44,8,11
263,44,7,2
264,44,3,5
265,44,5,1
266,45,11,5
267,45,12,2
268,45,8,1
269,45,10,2
270,45,3,7
271,45,6,3
272,45,7,7
273,46,1,6
274,46,6,1
275,46,4,10
276,46,12,8
277,46,7,3
278,46,8,2
279,46,9,3
280,46,2,2
281,46,5,2
282,47,12,6
283,48,9,4
284,48,12,5
285,48,1,1
286,49,6,9
287,49,3,10
288,49,5,8
289,49,11,4
290,51,9,2
291,51,6,4
292,51,11,1
293,51,4,6
294,51,10,6
295,51,5,13
296,51,3,1
297,51,7,4
298,51,8,1
299,52,11,2
300,52,7,2
301,52,9,1
302,52,5,4
303,52,2,1
304,52,3,1
305,52,8,2
306,52,1,1
307,52,12,4
308,52,6,7
309,53,12,3
310,53,8,1
311,54,4,7
312,54,11,1
313,54,12,7
314,54,1,9
315,54,9,1
316,54,2,3
317,54,8,4
318,54,3,1
319,55,12,1
320,55,6,1
321,55,5,18
322,55,8,4
323,56,5,1
324,56,11,5
325,56,3,1
326,56,6,11
327,56,10,1
328,56,1,2
329,56,7,4
330,58,11,1
331,58,4,4
332,58,12,8
333,58,1,6
334,58,5,1
335,59,7,5
336,59,5,1
337,59,4,2
338,59,2,2
339,59,3,5
340,59,12,3
341,59,11,5
342,60,3,2
343,60,12,3
344,60,5,1
345,60,8,4
346,60,7,5
347,61,4,3
348,61,12,8
349,61,2,1
350,61,10,5
351,61,6,2
352,61,9,2
353,61,3,5
354,61,7,10
355,61,8,1
356,62,11,2
357,62,2,1
358,62,4,8
359,62,3,3
360,62,5,4
361,62,1,8
362,62,7,1
363,63,3,7
364,63,8,1
365,63,1,2
366,63,4,3
367,63,11,1
368,63,10,2
369,63,9,6
370,64,9,12
371,64,11,12
372,64,8,1
373,65,9,6
374,65,5,3
375,65,4,4
376,65,7,1
377,65,1,2
378,65,10,1
379,66,11,4
380,66,5,8
381,66,2,4
382,66,7,1
383,66,3,1
384,66,9,7
385,66,8,1
386,66,10,8
387,66,1,2
388,67,5,3
389,67,6,7
390,67,7,1
391,67,12,1
392,67,4,1
393,67,11,1
394,67,8,2
395,67,3,3
396,67,10,6
397,67,9,2
398,67,2,2
399,68,11,1
400,68,4,3
401,68,3,10
